Ref,Domain,Question (example wording — replace with your customer's),Your answer,Evidence / citation,Owner,Status,Last verified
EX-1,Access Control,Do you review user access rights on a defined schedule?,"Yes — access reviews run quarterly across all production systems; the most recent review completed in May 2026.","Access Control Policy v2.1, §4; Q2-2026 access review report",Head of Engineering,Verified example,2026-06-10
EX-2,Incident Response,Do you have a documented incident response plan that is tested?,"Yes — documented IR plan with severity definitions and escalation paths; last tabletop exercise ran in March 2026.","Incident Response Plan v1.3; tabletop exercise notes 2026-03",CTO,Verified example,2026-06-10
EX-3,Business Resilience,Do you test backup restoration?,"Partially — automated daily backups with monthly restore verification for the primary database; full DR failover test is on the roadmap for Q4 2026.","Backup & Recovery Runbook; restore-verification log",Platform Lead,Gap (compensating control) example,2026-06-10
1,Enterprise Risk Management,Do you maintain a risk register reviewed by leadership?,,,,To do,
2,Enterprise Risk Management,Is there a named owner for information security risk?,,,,To do,
3,Security Policy,Do you maintain a written information security policy approved by management?,,,,To do,
4,Security Policy,How often are security policies reviewed and re-approved?,,,,To do,
5,Organizational Security,Do employees receive security awareness training at hire and periodically after?,,,,To do,
6,Organizational Security,Are background checks performed where legally permitted?,,,,To do,
7,Asset & Information Management,Do you maintain an inventory of systems that store or process customer data?,,,,To do,
8,Asset & Information Management,Is customer data classified and handled according to a data classification standard?,,,,To do,
9,Access Control,Is multi-factor authentication enforced for remote and administrative access?,,,,To do,
10,Access Control,Are privileged accounts separated from day-to-day user accounts?,,,,To do,
11,Access Control,Is access revoked within a defined time after termination?,,,,To do,
12,Application Security,Is code reviewed before release to production?,,,,To do,
13,Application Security,Do you run security testing (SAST/DAST or penetration tests) on a defined schedule?,,,,To do,
14,Application Security,How are secrets and credentials managed in your build and runtime environments?,,,,To do,
15,Network Security,Is network access segmented between production and corporate environments?,,,,To do,
16,Network Security,Are firewalls or security groups reviewed on a schedule?,,,,To do,
17,Server Security,Are systems hardened to a documented baseline and patched on a defined cadence?,,,,To do,
18,End User Device Security,Are laptops encrypted and centrally managed?,,,,To do,
19,Cloud Hosting,Which cloud providers and regions host customer data?,,,,To do,
20,Cloud Hosting,Is customer data encrypted at rest and in transit? Which algorithms/protocols?,,,,To do,
21,Operations Management,Do you maintain audit logs for production systems and review them?,,,,To do,
22,Operations Management,Is there a documented change management process for production changes?,,,,To do,
23,Incident Response,Will you notify customers of a security incident within a defined timeframe?,,,,To do,
24,Business Resilience,Do you have documented business continuity and disaster recovery plans?,,,,To do,
25,Business Resilience,What are your recovery time (RTO) and recovery point (RPO) objectives?,,,,To do,
26,Threat Management,Do you perform vulnerability scanning and track remediation to closure?,,,,To do,
27,Privacy,Do you have a privacy policy covering collection use and retention of personal data?,,,,To do,
28,Privacy,Do you support data subject deletion/export requests within defined timelines?,,,,To do,
29,Third Party / Supply Chain,Do you assess the security of your own subprocessors and vendors?,,,,To do,
30,Third Party / Supply Chain,Will you provide your subprocessor list and notify customers of changes?,,,,To do,
